idx,offset,magicTier,hp,magicFlags,at,df,mv,cmdRange,cmdAT,cmdDF,f76,maxSoldiers
0,0x2c542,0,0,0,0,0,0,0,0,0,0,0
1,0x2c5c2,0,10,0,23,21,6,3,2,2,9,2
2,0x2c642,0,10,0,23,20,6,3,0,2,9,2
3,0x2c6c2,0,10,0,23,20,6,3,0,2,9,2
4,0x2c742,0,10,8,27,24,6,4,2,4,9,4
5,0x2c7c2,0,10,8,27,24,6,4,2,4,9,3
6,0x2c842,0,10,8,27,24,6,4,2,4,9,3
7,0x2c8c2,0,10,0,25,22,6,4,0,9,9,3
8,0x2c942,0,10,12,31,28,6,4,6,4,13,6
9,0x2c9c2,0,10,16,41,28,9,4,0,0,9,8
10,0x2ca42,2,10,0,31,20,8,4,4,2,13,3
11,0x2cac2,2,10,0,31,20,8,4,4,2,13,3
12,0x2cb42,2,10,0,31,20,8,4,4,2,13,3
13,0x2cbc2,2,10,8,34,24,8,4,8,2,13,6
14,0x2cc42,2,10,8,34,24,8,4,8,2,13,6
15,0x2ccc2,2,10,8,34,24,8,4,8,2,13,6
16,0x2cd42,2,10,16,31,25,8,4,8,4,13,6
17,0x2cdc2,2,10,16,31,25,8,4,6,4,13,6
18,0x2ce42,2,10,16,31,25,8,4,6,4,13,6
19,0x2cec2,2,10,0,33,28,6,4,8,4,13,6
20,0x2cf42,2,10,0,33,28,6,4,8,4,13,6
21,0x2cfc2,4,10,0,28,20,7,4,2,2,9,2
22,0x2d042,4,10,0,32,24,7,4,6,2,13,3
23,0x2d0c2,3,10,4,34,24,9,4,4,2,13,6
24,0x2d142,3,10,4,34,24,9,4,4,2,13,6
25,0x2d1c2,0,10,10,27,13,6,4,3,2,13,1
26,0x2d242,0,10,16,27,15,6,4,6,2,13,3
27,0x2d2c2,0,10,32,31,17,6,4,9,2,13,5
28,0x2d342,0,10,16,27,20,6,4,6,4,13,6
29,0x2d3c2,0,10,8,23,17,5,4,0,4,9,2
30,0x2d442,0,10,16,27,24,6,4,2,6,9,5
31,0x2d4c2,0,10,32,27,32,6,4,4,8,13,6
32,0x2d542,0,10,24,31,24,6,4,9,4,13,6
33,0x2d5c2,0,10,10,27,13,6,4,3,2,13,1
34,0x2d642,0,10,0,23,21,6,4,0,2,9,2
35,0x2d6c2,0,10,0,23,21,6,4,0,2,9,2
36,0x2d742,0,10,8,27,24,5,4,2,4,9,3
37,0x2d7c2,0,10,12,32,32,6,4,4,4,9,4
38,0x2d842,0,10,0,31,19,8,4,4,2,9,3
39,0x2d8c2,0,10,0,31,19,8,4,4,2,9,3
40,0x2d942,0,10,4,35,21,8,4,6,4,9,4
41,0x2d9c2,0,10,4,35,21,8,4,6,4,9,4
42,0x2da42,0,10,0,31,25,6,4,6,4,13,4
43,0x2dac2,4,10,0,31,24,7,4,4,2,13,3
44,0x2db42,0,10,16,27,16,6,4,4,0,13,3
45,0x2dbc2,0,10,16,31,17,6,4,7,0,13,4
46,0x2dc42,0,10,16,27,20,6,4,4,6,9,4
47,0x2dcc2,6,10,0,19,28,6,4,2,2,1,3
48,0x2dd42,7,10,0,31,20,8,4,6,5,1,3
49,0x2ddc2,0,10,0,29,21,6,4,6,4,1,3
50,0x2de42,0,10,8,23,20,6,4,1,3,13,4
51,0x2dec2,0,10,16,19,20,6,4,1,2,9,4
52,0x2df42,0,10,16,27,20,6,4,3,2,9,3
53,0x2dfc2,0,10,8,32,30,6,4,5,4,1,4
54,0x2e042,5,10,16,31,34,6,4,7,6,1,4
55,0x2e0c2,4,10,0,29,26,6,4,0,2,1,4
56,0x2e142,0,10,12,31,28,6,4,5,0,6,4
57,0x2e1c2,7,10,1,27,27,6,4,3,2,6,4
58,0x2e242,3,10,8,31,24,7,4,3,2,0,4
59,0x2e2c2,3,10,16,35,35,3,4,5,4,5,4
60,0x2e342,7,10,40,35,35,7,4,4,4,5,4
61,0x2e3c2,0,10,4,25,15,4,4,0,0,9,2
62,0x2e442,7,10,16,41,34,8,4,0,0,5,8
63,0x2e4c2,0,10,0,12,10,6,4,0,0,0,4
64,0x2e542,0,10,0,12,10,6,4,0,0,0,4
65,0x2e5c2,0,10,0,20,14,6,4,0,0,10,2
66,0x2e642,2,10,0,21,15,8,4,1,0,10,2
67,0x2e6c2,1,10,0,19,14,7,4,0,0,9,2
68,0x2e742,7,10,0,20,13,6,4,0,0,9,2
69,0x2e7c2,4,10,0,24,6,7,4,0,0,10,2
70,0x2e842,3,10,0,27,13,9,4,0,0,8,2
71,0x2e8c2,0,10,0,16,10,6,4,0,0,14,2
72,0x2e942,0,10,0,0,6,6,4,0,0,10,2
73,0x2e9c2,0,10,0,12,10,6,4,0,0,0,2
74,0x2ea42,0,10,0,12,10,6,4,0,0,0,4
75,0x2eac2,0,10,0,20,14,6,4,0,0,10,2
76,0x2eb42,2,10,0,21,15,8,4,1,0,10,2
77,0x2ebc2,1,10,0,20,14,7,4,0,0,9,2
78,0x2ec42,4,10,0,23,6,6,4,0,0,10,2
79,0x2ecc2,0,10,0,24,18,6,4,0,0,10,2
80,0x2ed42,6,10,0,19,20,4,4,0,0,2,2
81,0x2edc2,7,10,0,19,16,8,4,1,0,2,2
